==========
Args:Namespace(adam_beta1=0.9, adam_beta2=0.999, arch='resnet18', color_aug=False, color_jitter=False, eval_freq=5, evaluate=False, gamma=0.1, gpu_devices='0', height=224, label_smooth=False, lambda_htri=1, lambda_xent=1, load_weights='', lr=0.0003, lr_scheduler='multi_step', margin=0.3, max_epoch=60, momentum=0.9, no_pretrained=True, num_instances=4, optim='amsgrad', print_freq=10, query_remove=True, random_erase=False, resume='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/resnet18_60_amsgrad_0.0003', rmsprop_alpha=0.99, root='/mnt/fast/nobackup/users/rs01960/AdvanceCV', save_dir='/mnt/fast/nobackup/users/rs01960/AdvanceCV/VehicleReID/Logs/resnet18_60_amsgrad_0.0003', seed=1, sgd_dampening=0, sgd_nesterov=False, source_names=['veri'], split_id=0, start_epoch=0, start_eval=0, stepsize=[20, 40], target_names=['veri'], test_batch_size=100, test_size=800, train_batch_size=64, train_sampler='RandomSampler', use_avai_gpus=False, use_cpu=False, visualize_ranks=False, weight_decay=0.0005, width=224, workers=8)
==========
Value Of GPU :  True
Currently using GPU 0
Initializing image data manager
=> Initializing TRAIN (source) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------
=> Initializing TEST (target) datasets
=> VeRi loaded
Image Dataset statistics:
  ----------------------------------------
  subset   | # ids | # images | # cameras
  ----------------------------------------
  train    |   576 |    37778 |        20
  query    |   200 |     1678 |        19
  gallery  |   200 |    11579 |        19
  ----------------------------------------


  **************** Summary ****************
  train names      : ['veri']
  # train datasets : 1
  # train ids      : 576
  # train images   : 37778
  # train cameras  : 20
  test names       : ['veri']
  *****************************************


Initializing model: resnet18
Model size: 11.177 M
=> Start training
Epoch: [1][10/590]	Time 0.084 (0.971)	Data 0.0003 (0.0759)	Xent 6.3355 (6.3625)	Htri 0.2076 (0.1787)	Acc 0.00 (0.78)	
Epoch: [1][20/590]	Time 0.081 (0.527)	Data 0.0002 (0.0380)	Xent 6.3660 (6.3650)	Htri 0.1157 (0.1641)	Acc 0.00 (0.70)	
Epoch: [1][30/590]	Time 0.085 (0.379)	Data 0.0002 (0.0254)	Xent 6.3630 (6.3884)	Htri 0.1215 (0.1640)	Acc 0.00 (0.73)	
Epoch: [1][40/590]	Time 0.083 (0.306)	Data 0.0002 (0.0191)	Xent 6.4098 (6.3949)	Htri 0.0943 (0.1608)	Acc 1.56 (0.74)	
Epoch: [1][50/590]	Time 0.081 (0.261)	Data 0.0003 (0.0153)	Xent 6.3746 (6.3754)	Htri 0.0692 (0.1609)	Acc 1.56 (1.06)	
Epoch: [1][60/590]	Time 0.085 (0.232)	Data 0.0003 (0.0128)	Xent 6.1370 (6.3569)	Htri 0.1825 (0.1623)	Acc 0.00 (0.99)	
Epoch: [1][70/590]	Time 0.082 (0.210)	Data 0.0002 (0.0110)	Xent 6.2153 (6.3419)	Htri 0.1148 (0.1657)	Acc 1.56 (1.00)	
Epoch: [1][80/590]	Time 0.082 (0.195)	Data 0.0003 (0.0097)	Xent 6.2632 (6.3279)	Htri 0.2017 (0.1623)	Acc 0.00 (0.90)	
Epoch: [1][90/590]	Time 0.087 (0.182)	Data 0.0003 (0.0086)	Xent 6.1861 (6.3174)	Htri 0.1000 (0.1596)	Acc 1.56 (0.95)	
Epoch: [1][100/590]	Time 0.082 (0.173)	Data 0.0002 (0.0078)	Xent 6.3185 (6.3098)	Htri 0.1392 (0.1557)	Acc 3.12 (1.02)	
Epoch: [1][110/590]	Time 0.081 (0.165)	Data 0.0002 (0.0071)	Xent 6.1363 (6.2984)	Htri 0.1847 (0.1521)	Acc 3.12 (1.21)	
Epoch: [1][120/590]	Time 0.083 (0.158)	Data 0.0001 (0.0065)	Xent 6.1924 (6.2907)	Htri 0.1713 (0.1499)	Acc 1.56 (1.24)	
Epoch: [1][130/590]	Time 0.084 (0.152)	Data 0.0003 (0.0060)	Xent 6.0456 (6.2742)	Htri 0.1545 (0.1539)	Acc 4.69 (1.30)	
Epoch: [1][140/590]	Time 0.082 (0.147)	Data 0.0003 (0.0056)	Xent 6.0776 (6.2666)	Htri 0.3922 (0.1573)	Acc 4.69 (1.36)	
